subject_id,x,y
S000,0.6350820491162239,-4.531628124045313
S001,1.3673142170776866,0.40652746639203907
S002,-1.9384849033920686,-3.0982502774756453
S003,-5.33892926905356,-1.7844141603210775
S004,-0.49620450386102644,-1.5670786369410776
S005,-3.4111528572346894,2.2934611009235435
S006,6.576329367852697,-4.669534825627584
S007,-2.518144009791278,-1.2271710207892252
S008,-3.862540357176645,0.5227388225121387
S009,17.4993334441064,10.662445271417386
S010,8.40189202922862,-0.6595401548294246
S011,-1.180189858977055,-2.289989508658208
S012,-0.33831227910314027,-4.7616642128697055
S013,-2.1020972127074433,-1.4347407546200068
S014,-0.47589386223404545,-0.7436584468434436
S015,-2.1340080039311666,-1.9731506622706436
S016,4.704346206668518,1.9027558709599828
S017,-7.427957482188102,0.16465495837162383
S018,-4.301363411077697,0.3713394218857079
S019,7.109162828819585,8.669194982114972
S020,-4.319381563763411,2.590928091487596
S021,9.784370645879354,-7.492486061896864
S022,0.9258092859114585,-6.309096497781429
S023,0.27483657264582645,-6.344794076709311
S024,13.005162443403714,-6.173128859993224
S025,6.703670315028116,-5.6423761762639595
S026,4.407916967879124,-6.541134955931728
S027,-4.579092393699367,-0.31658101321086524
S028,-1.8991628752458434,-2.5623460103566367
S029,6.732711741392946,-7.32745127317435
S030,-5.670082600872576,2.3599691857439855
S031,11.297233235461626,1.4526170783094428
S032,0.6486831842844778,-2.653849075053371
S033,2.4150453009988393,-2.802275635084607
S034,-1.3405451148769776,-3.45149797603996
S035,-1.688424622476841,0.14550142336810024
S036,16.622508161033416,10.816185231663141
S037,2.7865972905099654,-2.180876332348778
S038,0.513341502858341,-0.7762626391735056
S039,2.239570141859207,-3.3057460047285887
S040,-6.174075716432863,-2.2949379309151166
S041,-5.647620713404699,-2.803454468139845
S042,2.1826114215287413,-1.0178593513606184
S043,-4.026539005113573,3.9291597257523883
S044,-2.971048094109068,-3.439871275365499
S045,49.10999993177604,-30.02080591277002
S046,-1.9479638781971544,-2.0383899211423517
S047,12.547304715773603,-1.179083424895705
S048,-5.283123544200363,-1.0710164287707564
S049,0.14853356176421798,-3.462154497605724
S050,-1.748375464326168,-0.7267482606243466
S051,-1.5480671582239274,-4.653730257040983
S052,1.0321305378278829,-4.396142447896334
S053,5.875035818013525,-0.022004556645722543
S054,-7.336922422376724,-2.1860990624039434
S055,-2.5762829142383175,1.618059203697503
S056,-2.054765282352546,-4.1301723856178745
S057,-7.837751836682915,-1.303279126233974
S058,-2.1135843715915463,-2.810230944035472
S059,-8.570476107877976,-0.47585599075894297
S060,-4.138603606726937,-2.4853554134312663
